"","candidate","district","borough","votes","party","olpr.winner"
"A Blue Collar/Fight and Deliver","Dominick Romeo","3","New York County",4955,"A Blue Collar/Fight and Deliver",0
"CleanSafeStreet","Gail Schargel","2","New York County",1165,"CleanSafeStreet",0
"Democratic.694","Julie Menin","5","New York County",49426,"Democratic",1
"Democratic.741","Erik D. Bottcher","3","New York County",47354,"Democratic",1
"Democratic.693","Virginia Maloney","4","New York County",43247,"Democratic",1
"Democratic.2317","Yusef Salaam","9","New York County",39348,"Democratic",1
"Democratic and Working Families.2121","Gale A. Brewer","6","New York County",60807,"Democratic and Working Families",1
"Democratic and Working Families.4415","Shaun Abreu","7","New York County",45443,"Democratic and Working Families",1
"Democratic and Working Families.2510","Harvey D. Epstein","2","New York County",42376,"Democratic and Working Families",1
"Democratic and Working Families.1120","Carmen N. De La Rosa","10","New York County",35332,"Democratic and Working Families",1
"Democratic and Working Families.10","Christopher Marte","1","New York County",33866,"Democratic and Working Families",1
"Democratic and Working Families.New York County.12","Elsie Encarnacion","8","New York County",17347,"Democratic and Working Families",0
"Republican.5103","Alina Bonsell","5","New York County",17423,"Republican",1
"Republican.1712","Debra Schwartzben","4","New York County",16868,"Republican",0
"Republican.2815","Manual Williams","7","New York County",4674,"Republican",0
"Republican.4717","Louisa Flores","10","New York County",4194,"Republican",0
"Republican and Conservative.33","Helen Qiu","1","New York County",13238,"Republican and Conservative",0
"Republican and Conservative.3210","Jason C. Murillo","2","New York County",8971,"Republican and Conservative",0
"Republican and Conservative.New York County.33","Tyreek Goodman","8","New York County",2617,"Republican and Conservative",0
"Revive East Side","Kyle Athayde","4","New York County",2573,"Revive East Side",0
"The Unity.5100","Allie Ryan","2","New York County",1720,"The Unity",0
"The Unity.2717","Francesca Castellanos","10","New York County",1052,"The Unity",0
"The Unity.New York County.14","Federico Colon","8","New York County",697,"The Unity",0
"West Side United","Edafe Okporo","7","New York County",2477,"West Side United",0
"Write-In10","ALEXANDER REYES","8","New York County",1,"Write-In10",0
"Write-In1000","MITCHELL ROBINSON","3","New York County",1,"Write-In1000",0
"Write-In1001","NICHOLAS MORGAN","3","New York County",1,"Write-In1001",0
"Write-In1002","NICK CUTLER","3","New York County",1,"Write-In1002",0
"Write-In1003","NICK HANSEN","3","New York County",1,"Write-In1003",0
"Write-In1004","NICK ZIPPILLI","3","New York County",1,"Write-In1004",0
"Write-In1005","NOLAN SPENCER","3","New York County",1,"Write-In1005",0
"Write-In1006","NORMAN LEVINE","3","New York County",1,"Write-In1006",0
"Write-In1007","NORMAN SIEGEL","3","New York County",1,"Write-In1007",0
"Write-In1008","PAPERBOY LOVE PRINCE","3","New York County",1,"Write-In1008",0
"Write-In1009","PARIS HILTON","3","New York County",1,"Write-In1009",0
"Write-In1010","PATRICK HUGERTY","3","New York County",1,"Write-In1010",0
"Write-In1011","PATRICK QUIGLEY","3","New York County",1,"Write-In1011",0
"Write-In1012","PAUL LARUSSO","3","New York County",1,"Write-In1012",0
"Write-In1013","PETER CHIN","3","New York County",1,"Write-In1013",0
"Write-In1014","PHILIPPE HALABON","3","New York County",1,"Write-In1014",0
"Write-In1015","RENEE KEITT","3","New York County",1,"Write-In1015",0
"Write-In1016","RENNIE GINNEVER","3","New York County",1,"Write-In1016",0
"Write-In1017","ROBERT BIRKOWSKI","3","New York County",1,"Write-In1017",0
"Write-In1018","ROBERT P. BOBRICK","3","New York County",1,"Write-In1018",0
"Write-In1019","RUDY GIULIANI","3","New York County",1,"Write-In1019",0
"Write-In1020","RYAN GABRIELE","3","New York County",1,"Write-In1020",0
"Write-In1021","SCOTT BUDLONG","3","New York County",1,"Write-In1021",0
"Write-In1022","SESON ADAMS","3","New York County",1,"Write-In1022",0
"Write-In1023","SPENCER DANIELS","3","New York County",1,"Write-In1023",0
"Write-In1024","SPIKE LEE","3","New York County",1,"Write-In1024",0
"Write-In1025","STEPHEN SOHOFER","3","New York County",1,"Write-In1025",0
"Write-In1026","SUSAN MARSHALL","3","New York County",1,"Write-In1026",0
"Write-In1027","SUSANNE ALVARADO","3","New York County",1,"Write-In1027",0
"Write-In1028","TED LIVINGSTON","3","New York County",1,"Write-In1028",0
"Write-In1029","TEDDY TWIST","3","New York County",1,"Write-In1029",0
"Write-In1030","THOMAS COOKE","3","New York County",2,"Write-In1030",0
"Write-In1031","THOMAS WALSH","3","New York County",1,"Write-In1031",0
"Write-In1032","TIM FALVEY","3","New York County",1,"Write-In1032",0
"Write-In1033","TIMOTHY J. DEGRAW","3","New York County",1,"Write-In1033",0
"Write-In1034","TOM DUANE","3","New York County",1,"Write-In1034",0
"Write-In1035","TOM HORTON","3","New York County",1,"Write-In1035",0
"Write-In1036","TONI ANN BONADE","3","New York County",1,"Write-In1036",0
"Write-In1037","TYLER O'DAY","3","New York County",1,"Write-In1037",0
"Write-In1038","UNATTRIBUTABLE WRITE-IN","3","New York County",79,"Write-In1038",0
"Write-In1039","UNCOUNTED WRITE-IN PER STATUTE","3","New York County",1,"Write-In1039",0
"Write-In1040","URI FEDERMAN","3","New York County",1,"Write-In1040",0
"Write-In1041","VALIA LEIFER","3","New York County",1,"Write-In1041",0
"Write-In1042","VANESSA WARREN","3","New York County",1,"Write-In1042",0
"Write-In1043","VICKI MOSS","3","New York County",1,"Write-In1043",0
"Write-In1044","VICKIE PALADINO","3","New York County",1,"Write-In1044",0
"Write-In1045","VIRGINIA MALONEY","3","New York County",1,"Write-In1045",0
"Write-In1046","YUSEF SALAAM","3","New York County",1,"Write-In1046",0
"Write-In1047","ZAIN QAYYUM","3","New York County",1,"Write-In1047",0
"Write-In1048","ZAY FLOWERS","3","New York County",1,"Write-In1048",0
"Write-In1049","ZENOBIA ZIELINSKA","3","New York County",1,"Write-In1049",0
"Write-In1050","AL SHARPTON","4","New York County",1,"Write-In1050",0
"Write-In1051","ALEXANDER FORSTER ARMOUR","4","New York County",1,"Write-In1051",0
"Write-In1052","ALEXANDRIA OCASIO-CORTEZ","4","New York County",1,"Write-In1052",0
"Write-In1053","ALICE LLOYD","4","New York County",1,"Write-In1053",0
"Write-In1054","ALLIE RYAN","4","New York County",1,"Write-In1054",0
"Write-In1055","ANDREW BERMAN","4","New York County",1,"Write-In1055",0
"Write-In1056","ANDREW SIMPSON","4","New York County",2,"Write-In1056",0
"Write-In1057","ARKADY ROSS","4","New York County",1,"Write-In1057",0
"Write-In1058","BARBARA KELLY","4","New York County",1,"Write-In1058",0
"Write-In1059","BEN WETZLER","4","New York County",3,"Write-In1059",0
"Write-In1060","BERNIE SANDERS","4","New York County",1,"Write-In1060",0
"Write-In1061","BERT SHANAS","4","New York County",1,"Write-In1061",0
"Write-In1062","BOB DOLE","4","New York County",1,"Write-In1062",0
"Write-In1063","CHRISTOPHER MARTE","4","New York County",1,"Write-In1063",0
"Write-In1064","DAN GARODNICK","4","New York County",1,"Write-In1064",0
"Write-In1065","DANNY GALL","4","New York County",1,"Write-In1065",0
"Write-In1066","DEBRA STABILE","4","New York County",1,"Write-In1066",0
"Write-In1067","DEVIN THOMPSON","4","New York County",1,"Write-In1067",0
"Write-In1068","DON T. NGUYEN","4","New York County",1,"Write-In1068",0
"Write-In1069","DOUGLAS F. ELSENBERG","4","New York County",1,"Write-In1069",0
"Write-In1070","DREW ARFINE","4","New York County",1,"Write-In1070",0
"Write-In1071","ERIC B. GOLDBERG","4","New York County",1,"Write-In1071",0
"Write-In1072","ERIC O. COSTELLO","4","New York County",1,"Write-In1072",0
"Write-In1073","FIORENZO DELLO JOIE MORRIN","4","New York County",1,"Write-In1073",0
"Write-In1074","FRANCISCO LINDOR","4","New York County",1,"Write-In1074",0
"Write-In1075","GAIL SCHARGEL","4","New York County",1,"Write-In1075",0
"Write-In1076","GAVIN SOLOMON","4","New York County",1,"Write-In1076",0
"Write-In1077","HANNA HARBEN","4","New York County",1,"Write-In1077",0
"Write-In1078","HARVEY EPSTEIN","4","New York County",1,"Write-In1078",0
"Write-In1079","HELEN QIU","4","New York County",2,"Write-In1079",0
"Write-In1080","HENRI DE TOLEDO","4","New York County",1,"Write-In1080",0
"Write-In1081","HENRY A. LEVIN","4","New York County",1,"Write-In1081",0
"Write-In1082","HIROKO HARA","4","New York County",1,"Write-In1082",0
"Write-In1083","INNA VERNIKOV","4","New York County",1,"Write-In1083",0
"Write-In1084","JACOB JUST","4","New York County",1,"Write-In1084",0
"Write-In1085","JALEN BRUNSON","4","New York County",2,"Write-In1085",0
"Write-In1086","JALINE OLIVA","4","New York County",1,"Write-In1086",0
"Write-In1087","JARED E. BRUST","4","New York County",1,"Write-In1087",0
"Write-In1088","JESSE BEHAR","4","New York County",1,"Write-In1088",0
"Write-In1089","JULIE MENIN","4","New York County",3,"Write-In1089",0
"Write-In1090","KARL ANTHONY TOWNS","4","New York County",1,"Write-In1090",0
"Write-In1091","KELLY STERMAN","4","New York County",1,"Write-In1091",0
"Write-In1092","LARA MERIDA","4","New York County",1,"Write-In1092",0
"Write-In1093","LEBRON JAMES","4","New York County",1,"Write-In1093",0
"Write-In1094","LEXI PACE","4","New York County",1,"Write-In1094",0
"Write-In1095","MAJED ABDULSAMAD","4","New York County",1,"Write-In1095",0
"Write-In1096","MARK THOMPSON","4","New York County",1,"Write-In1096",0
"Write-In1097","MARTI SPERANZA","4","New York County",4,"Write-In1097",0
"Write-In1098","MARY EPNER","4","New York County",2,"Write-In1098",0
"Write-In1099","NINA EDELMAN","4","New York County",1,"Write-In1099",0
"Write-In11","AMANDA FARIAS","8","New York County",1,"Write-In11",0
"Write-In1100","NODAR JANAS","4","New York County",1,"Write-In1100",0
"Write-In1101","PANENA HUNNES","4","New York County",1,"Write-In1101",0
"Write-In1102","PHYLLIS LANDAM","4","New York County",1,"Write-In1102",0
"Write-In1103","ROBERT KAHN","4","New York County",1,"Write-In1103",0
"Write-In1104","SADIE MANE","4","New York County",1,"Write-In1104",0
"Write-In1105","SHAUN DONOVAN","4","New York County",1,"Write-In1105",0
"Write-In1106","SHIVANI A SHAH","4","New York County",1,"Write-In1106",0
"Write-In1107","SIMAHA FELDER","4","New York County",1,"Write-In1107",0
"Write-In1108","SURAJ PATEL","4","New York County",1,"Write-In1108",0
"Write-In1109","THOMAS KELLY","4","New York County",1,"Write-In1109",0
"Write-In1110","TRUDY L. MASON","4","New York County",1,"Write-In1110",0
"Write-In1111","UNATTRIBUTABLE WRITE-IN","4","New York County",38,"Write-In1111",0
"Write-In1112","VALERIE MASON","4","New York County",1,"Write-In1112",0
"Write-In1113","VALERIE S MASON","4","New York County",1,"Write-In1113",0
"Write-In1114","VANESSA ARONSON","4","New York County",8,"Write-In1114",0
"Write-In1115","VERONICA GUERRERO","4","New York County",1,"Write-In1115",0
"Write-In1116","WESLEY CAPLAN","4","New York County",1,"Write-In1116",0
"Write-In1117","WINNIE FLOOFER","4","New York County",1,"Write-In1117",0
"Write-In1118","YVONNE GROVAN","4","New York County",1,"Write-In1118",0
"Write-In1119","ZOHARA LAM","4","New York County",1,"Write-In1119",0
"Write-In1120","AARON JUDGE","5","New York County",1,"Write-In1120",0
"Write-In1121","ALEX ELIAS","5","New York County",1,"Write-In1121",0
"Write-In1122","ALEX KINGSBURY","5","New York County",1,"Write-In1122",0
"Write-In1123","ALIE RYAN","5","New York County",1,"Write-In1123",0
"Write-In1124","AMANDA ARCHER","5","New York County",1,"Write-In1124",0
"Write-In1125","ANASS DARANI","5","New York County",1,"Write-In1125",0
