"","candidate","district","borough","votes","party","ssd.win"
"1.ALLIE RYAN","ALLIE RYAN","1","New York County",2,"Write-In1",0
"1.ANTONY WONG","ANTONY WONG","1","New York County",1,"Write-In2",0
"1.ARMON MOZAFFARI","ARMON MOZAFFARI","1","New York County",1,"Write-In3",0
"1.BLEECKER GLENDENING","BLEECKER GLENDENING","1","New York County",1,"Write-In4",0
"1.BOB SMITH","BOB SMITH","1","New York County",1,"Write-In5",0
"1.BRETT FAZLO","BRETT FAZLO","1","New York County",1,"Write-In6",0
"1.CAROLINA RIVERA","CAROLINA RIVERA","1","New York County",1,"Write-In7",0
"1.CHAMP MARCELLO","CHAMP MARCELLO","1","New York County",1,"Write-In8",0
"1.CHARLES MACKELVY","CHARLES MACKELVY","1","New York County",1,"Write-In9",0
"1.Christopher Marte","Christopher Marte","1","New York County",33866,"Democratic and Working Families",1
"1.CLAYTEN LEWIS","CLAYTEN LEWIS","1","New York County",1,"Write-In10",0
"1.CROSBY STEEPHEN","CROSBY STEEPHEN","1","New York County",1,"Write-In11",0
"1.CURTIS A. SLIWA","CURTIS A. SLIWA","1","New York County",1,"Write-In12",0
"1.CYNTHIA NIEVES","CYNTHIA NIEVES","1","New York County",1,"Write-In13",0
"1.DANIEL HIRT","DANIEL HIRT","1","New York County",1,"Write-In14",0
"1.DAVID BOWIE","DAVID BOWIE","1","New York County",1,"Write-In15",0
"1.DAVID SCHMIDT","DAVID SCHMIDT","1","New York County",1,"Write-In16",0
"1.DENNY SOLAS","DENNY SOLAS","1","New York County",1,"Write-In17",0
"1.DEREK ANDREW CHIN","DEREK ANDREW CHIN","1","New York County",1,"Write-In18",0
"1.DOREY LEE","DOREY LEE","1","New York County",1,"Write-In19",0
"1.DREW MARCELLO","DREW MARCELLO","1","New York County",1,"Write-In20",0
"1.EDWARD FACCIO","EDWARD FACCIO","1","New York County",1,"Write-In21",0
"1.EFRAIN GONZALEZ","EFRAIN GONZALEZ","1","New York County",1,"Write-In22",0
"1.ELAINE BALL","ELAINE BALL","1","New York County",1,"Write-In23",0
"1.ELIZABETH LEWINSOHN","ELIZABETH LEWINSOHN","1","New York County",7,"Write-In24",0
"1.EMRYS KAYA","EMRYS KAYA","1","New York County",1,"Write-In25",0
"1.ERIC L. ADAMS","ERIC L. ADAMS","1","New York County",1,"Write-In26",0
"1.ERIC YU","ERIC YU","1","New York County",2,"Write-In27",0
"1.GLORIA BROWN-MARSHALL","GLORIA BROWN-MARSHALL","1","New York County",1,"Write-In28",0
"1.GOMEZ ALLAPROSS","GOMEZ ALLAPROSS","1","New York County",1,"Write-In29",0
"1.GREGORY DEROSSO","GREGORY DEROSSO","1","New York County",1,"Write-In30",0
"1.Helen Qiu","Helen Qiu","1","New York County",13238,"Republican and Conservative",0
"1.HENRY GEORGE","HENRY GEORGE","1","New York County",1,"Write-In31",0
"1.HILLARY CLINTON","HILLARY CLINTON","1","New York County",1,"Write-In32",0
"1.HOI PING NGO","HOI PING NGO","1","New York County",1,"Write-In33",0
"1.ILLAPA SAIRITUPAC","ILLAPA SAIRITUPAC","1","New York County",1,"Write-In34",0
"1.IME NELSON","IME NELSON","1","New York County",1,"Write-In35",0
"1.JALEN BRUNSON","JALEN BRUNSON","1","New York County",1,"Write-In36",0
"1.JAMES JOHNSON","JAMES JOHNSON","1","New York County",1,"Write-In37",0
"1.JASMINE NALENTNE","JASMINE NALENTNE","1","New York County",1,"Write-In38",0
"1.JENNY LAM LO","JENNY LAM LO","1","New York County",1,"Write-In39",0
"1.JENNY LOW","JENNY LOW","1","New York County",3,"Write-In40",0
"1.JESS COLEMAN","JESS COLEMAN","1","New York County",33,"Write-In41",0
"1.JESS KALIMAN","JESS KALIMAN","1","New York County",1,"Write-In42",0
"1.JOEL COLUCCI","JOEL COLUCCI","1","New York County",2,"Write-In43",0
"1.JOHN CHRISTIAN WHITE","JOHN CHRISTIAN WHITE","1","New York County",1,"Write-In44",0
"1.JOHN G. DUGGAN","JOHN G. DUGGAN","1","New York County",1,"Write-In45",0
"1.JULIA ROSS","JULIA ROSS","1","New York County",1,"Write-In46",0
"1.KAMCHI LI","KAMCHI LI","1","New York County",1,"Write-In47",0
"1.KARLIN CHAN","KARLIN CHAN","1","New York County",3,"Write-In48",0
"1.KEITH TEM","KEITH TEM","1","New York County",1,"Write-In49",0
"1.KENT TEKULVE","KENT TEKULVE","1","New York County",1,"Write-In50",0
"1.KWAME BROWN","KWAME BROWN","1","New York County",1,"Write-In51",0
"1.LEE BERMAN","LEE BERMAN","1","New York County",1,"Write-In52",0
"1.LISA ARBISSER","LISA ARBISSER","1","New York County",1,"Write-In53",0
"1.LYNDON BAINES JOHNSON","LYNDON BAINES JOHNSON","1","New York County",1,"Write-In54",0
"1.MAHIR S. KAHMAN","MAHIR S. KAHMAN","1","New York County",1,"Write-In55",0
"1.MARGARET CHIN","MARGARET CHIN","1","New York County",1,"Write-In56",0
"1.MARGARET CLARK","MARGARET CLARK","1","New York County",1,"Write-In57",0
"1.MARIANNE PIZZITOLA","MARIANNE PIZZITOLA","1","New York County",1,"Write-In58",0
"1.MARY DAUGHERTY","MARY DAUGHERTY","1","New York County",1,"Write-In59",0
"1.MATTHEW ISRAEL","MATTHEW ISRAEL","1","New York County",1,"Write-In60",0
"1.MEYER POLANCO","MEYER POLANCO","1","New York County",1,"Write-In61",0
"1.MICHAEL GURAL MAIELLO","MICHAEL GURAL MAIELLO","1","New York County",1,"Write-In62",0
"1.MICHAEL PESILIN","MICHAEL PESILIN","1","New York County",1,"Write-In63",0
"1.MILES ROBINSON","MILES ROBINSON","1","New York County",1,"Write-In64",0
"1.NICOLE SAMII","NICOLE SAMII","1","New York County",1,"Write-In65",0
"1.NICOLE SAMIL","NICOLE SAMIL","1","New York County",2,"Write-In66",0
"1.OLIVIER ANDERSEN","OLIVIER ANDERSEN","1","New York County",1,"Write-In67",0
"1.PATRICK BORJA","PATRICK BORJA","1","New York County",1,"Write-In68",0
"1.PATRICK SMITH","PATRICK SMITH","1","New York County",1,"Write-In69",0
"1.PRESTON LUST","PRESTON LUST","1","New York County",1,"Write-In70",0
"1.REBECCA SHAPIRO","REBECCA SHAPIRO","1","New York County",1,"Write-In71",0
"1.RICHARD D. BAILEY","RICHARD D. BAILEY","1","New York County",1,"Write-In72",0
"1.RITA C. JOSEPH","RITA C. JOSEPH","1","New York County",1,"Write-In73",0
"1.RUDD TAYLOR","RUDD TAYLOR","1","New York County",1,"Write-In74",0
"1.RYAN CORNELL","RYAN CORNELL","1","New York County",1,"Write-In75",0
"1.SCOTT STRINGER","SCOTT STRINGER","1","New York County",1,"Write-In76",0
"1.SEBASTIAN BECKER","SEBASTIAN BECKER","1","New York County",1,"Write-In77",0
"1.SIMON THANG","SIMON THANG","1","New York County",1,"Write-In78",0
"1.SUSAN BURKE","SUSAN BURKE","1","New York County",1,"Write-In79",0
"1.SUSAN LEE","SUSAN LEE","1","New York County",3,"Write-In80",0
"1.TREVER HOLLAND","TREVER HOLLAND","1","New York County",2,"Write-In81",0
"1.UNATTRIBUTABLE WRITE-IN","UNATTRIBUTABLE WRITE-IN","1","New York County",41,"Write-In82",0
"1.VAYLATEENA JONES","VAYLATEENA JONES","1","New York County",2,"Write-In83",0
"1.VIRGINIA MALONEY","VIRGINIA MALONEY","1","New York County",1,"Write-In84",0
"1.VITO PITTA","VITO PITTA","1","New York County",1,"Write-In85",0
"1.WARREN ROSENFELD","WARREN ROSENFELD","1","New York County",1,"Write-In86",0
"1.YUH-LINE NIOU","YUH-LINE NIOU","1","New York County",1,"Write-In87",0
"1.ZOHRAN KWAME MAMDANI","ZOHRAN KWAME MAMDANI","1","New York County",1,"Write-In88",0
"1.ZUVINIA VITALE","ZUVINIA VITALE","1","New York County",1,"Write-In89",0
"10.ABBY POWELL","ABBY POWELL","10","New York County",1,"Write-In90",0
"10.ALAN LEVINE","ALAN LEVINE","10","New York County",1,"Write-In91",0
"10.ALEXANDER FRYE YANOS","ALEXANDER FRYE YANOS","10","New York County",1,"Write-In92",0
"10.ANDREA KOMBLUTH","ANDREA KOMBLUTH","10","New York County",1,"Write-In93",0
"10.ANDREW M. CUOMO","ANDREW M. CUOMO","10","New York County",2,"Write-In94",0
"10.ANGELA FERNANDEZ","ANGELA FERNANDEZ","10","New York County",1,"Write-In95",0
"10.ANTHONY CRUZ","ANTHONY CRUZ","10","New York County",1,"Write-In96",0
"10.ARIEL VARGAS","ARIEL VARGAS","10","New York County",1,"Write-In97",0
"10.ARIELE FAWTESTON MORRIS","ARIELE FAWTESTON MORRIS","10","New York County",1,"Write-In98",0
"10.BRIAN J. VENENS","BRIAN J. VENENS","10","New York County",1,"Write-In99",0
"10.Carmen N. De La Rosa","Carmen N. De La Rosa","10","New York County",35332,"Democratic and Working Families",1
"10.CAROLINE GOLDRICK","CAROLINE GOLDRICK","10","New York County",1,"Write-In100",0
"10.CHARLES UDOH","CHARLES UDOH","10","New York County",1,"Write-In101",0
"10.CHARLIE FERSKO","CHARLIE FERSKO","10","New York County",1,"Write-In102",0
"10.CHRISTOPHER MARTE","CHRISTOPHER MARTE","10","New York County",1,"Write-In103",0
"10.CURTIS A. SLIWA","CURTIS A. SLIWA","10","New York County",3,"Write-In104",0
"10.DALE RUTKIN","DALE RUTKIN","10","New York County",1,"Write-In105",0
"10.DANIELLA JAMPEL","DANIELLA JAMPEL","10","New York County",1,"Write-In106",0
"10.DAVID LATES","DAVID LATES","10","New York County",1,"Write-In107",0
"10.DAVID ZINSTEIN","DAVID ZINSTEIN","10","New York County",1,"Write-In108",0
"10.DORCA N. REPSOS","DORCA N. REPSOS","10","New York County",1,"Write-In109",0
"10.DORCA REYNOSO","DORCA REYNOSO","10","New York County",1,"Write-In110",0
"10.DYLAN J. STEIN","DYLAN J. STEIN","10","New York County",1,"Write-In111",0
"10.ELEANOR LEVIN","ELEANOR LEVIN","10","New York County",1,"Write-In112",0
"10.ERIC L. ADAMS","ERIC L. ADAMS","10","New York County",1,"Write-In113",0
"10.Francesca Castellanos","Francesca Castellanos","10","New York County",1052,"The Unity",0
"10.GEORGE ESPINAL","GEORGE ESPINAL","10","New York County",2,"Write-In114",0
"10.GERTRUDE ZANONI","GERTRUDE ZANONI","10","New York County",1,"Write-In115",0
"10.HILARY CLINTON","HILARY CLINTON","10","New York County",1,"Write-In116",0
"10.HOOMAN JALILI","HOOMAN JALILI","10","New York County",1,"Write-In117",0
"10.JACQUE CLOSSUC","JACQUE CLOSSUC","10","New York County",1,"Write-In118",0
"10.JALEN BRUNSON","JALEN BRUNSON","10","New York County",1,"Write-In119",0
"10.JAMES KATZ","JAMES KATZ","10","New York County",1,"Write-In120",0
"10.JANICE BIGGS","JANICE BIGGS","10","New York County",1,"Write-In121",0
"10.JASINTA DE LA CRUZ","JASINTA DE LA CRUZ","10","New York County",1,"Write-In122",0
"10.JASON MCDOWELL","JASON MCDOWELL","10","New York County",2,"Write-In123",0
"10.JENNIFER ALMANZAR","JENNIFER ALMANZAR","10","New York County",1,"Write-In124",0
"10.JESSICA KIM","JESSICA KIM","10","New York County",3,"Write-In125",0
"10.JOANNA RODRIGUES","JOANNA RODRIGUES","10","New York County",1,"Write-In126",0
"10.JOHANNA GARCIA","JOHANNA GARCIA","10","New York County",12,"Write-In127",0
"10.JOHNNY MCDONALD","JOHNNY MCDONALD","10","New York County",1,"Write-In128",0
"10.JORDAN LAMARCHE","JORDAN LAMARCHE","10","New York County",1,"Write-In129",0
"10.KATHRYN GARCIA","KATHRYN GARCIA","10","New York County",2,"Write-In130",0
"10.KATHRYN HARRIS","KATHRYN HARRIS","10","New York County",1,"Write-In131",0
"10.KYLA JO WILLIAMS","KYLA JO WILLIAMS","10","New York County",1,"Write-In132",0
"10.Louisa Flores","Louisa Flores","10","New York County",4194,"Republican",0
"10.MARIANNE PIZZITOLA","MARIANNE PIZZITOLA","10","New York County",1,"Write-In133",0
"10.MARTIN COLLINS","MARTIN COLLINS","10","New York County",1,"Write-In134",0
"10.MAX BLUMENTHAL","MAX BLUMENTHAL","10","New York County",1,"Write-In135",0
"10.MINDA ARRON","MINDA ARRON","10","New York County",1,"Write-In136",0
"10.MO REIS","MO REIS","10","New York County",1,"Write-In137",0
"10.NATHAN MANDELL","NATHAN MANDELL","10","New York County",1,"Write-In138",0
"10.NAYMA MATOS","NAYMA MATOS","10","New York County",1,"Write-In139",0
"10.NELSON ROJAS","NELSON ROJAS","10","New York County",2,"Write-In140",0
"10.NICK LYNDON","NICK LYNDON","10","New York County",1,"Write-In141",0
"10.NOA ATEDGI","NOA ATEDGI","10","New York County",1,"Write-In142",0
"10.RACHEL GOLDBERG POLIN","RACHEL GOLDBERG POLIN","10","New York County",1,"Write-In143",0
"10.RICHARD LO","RICHARD LO","10","New York County",1,"Write-In144",0
"10.ROBERT JACKSON","ROBERT JACKSON","10","New York County",2,"Write-In145",0
"10.SHEILA MALDONADO","SHEILA MALDONADO","10","New York County",1,"Write-In146",0
"10.SIMCHA FELDER","SIMCHA FELDER","10","New York County",3,"Write-In147",0
"10.TANYA BRUNET","TANYA BRUNET","10","New York County",1,"Write-In148",0
"10.TERRELL NELSEN","TERRELL NELSEN","10","New York County",1,"Write-In149",0
"10.UNATTRIBUTABLE WRITE-IN","UNATTRIBUTABLE WRITE-IN","10","New York County",31,"Write-In150",0
"10.UNCOUNTED WRITE-IN PER STATUTE","UNCOUNTED WRITE-IN PER STATUTE","10","New York County",4,"Write-In151",0
"10.WAYNE HOULE","WAYNE HOULE","10","New York County",1,"Write-In152",0
"10.ZOHRAN KWAME MAMDANI","ZOHRAN KWAME MAMDANI","10","New York County",1,"Write-In153",0
"11.AARON STAYMAN","AARON STAYMAN","11","Bronx County",3,"Write-In154",0
"11.ABIGAIL JONES","ABIGAIL JONES","11","Bronx County",1,"Write-In155",0
